Postanski_ured;Mjesto;Zupanija
10000;Sljeme;ZAGREBAČKA
10000;Zagreb;ZAGREBAČKA
10010;Buzin;ZAGREBAČKA
10010;Veliko Polje;ZAGREBAČKA
10010;Zagreb;ZAGREBAČKA
10020;Botinec;ZAGREBAČKA
10020;Donji Čehi;ZAGREBAČKA
10020;Gornji Čehi;ZAGREBAČKA
10020;Hrašće Turopoljsko;ZAGREBAČKA
10020;Mala Mlaka;ZAGREBAČKA
10020;Odra;ZAGREBAČKA
10020;Odranski Obrež;ZAGREBAČKA
10020;Strmec;ZAGREBAČKA
10020;Zagreb;ZAGREBAČKA
10040;Zagreb;ZAGREBAČKA
10090;Zagreb;ZAGREBAČKA
10250;Ježdovec;ZAGREBAČKA
10250;Lučko;ZAGREBAČKA
10251;Demerje;ZAGREBAČKA
10251;Hrvatski Leskovac;ZAGREBAČKA
10253;Bukovčak;ZAGREBAČKA
10253;Donji Dragonožec;ZAGREBAČKA
10253;Donji Trupci;ZAGREBAČKA
10253;Gornji Dragonožec;ZAGREBAČKA
10253;Gornji Trupci;ZAGREBAČKA
10253;Gudci;ZAGREBAČKA
10253;Havidić Selo;ZAGREBAČKA
10253;Lipnica;ZAGREBAČKA
10253;Markuševec Turopoljski;ZAGREBAČKA
10255;Donji Stupnik;ZAGREBAČKA
10255;Gornji Stupnik;ZAGREBAČKA
10255;Obrež Stupnički;ZAGREBAČKA
10257;Brezovica;ZAGREBAČKA
10257;Brebernica;ZAGREBAČKA
10257;Desprim;ZAGREBAČKA
10257;Drežnik Brezovički;ZAGREBAČKA
10257;Goli Breg;ZAGREBAČKA
10257;Graničari;ZAGREBAČKA
10257;Hudi Bitek;ZAGREBAČKA
10257;Kupinečki Kraljevec;ZAGREBAČKA
10257;Stavjak;ZAGREBAČKA
10257;Zadvorsko;ZAGREBAČKA
10290;Ivanec Bistranski;ZAGREBAČKA
10290;Lužnica;ZAGREBAČKA
10290;Šibice;ZAGREBAČKA
10290;Zaprešić;ZAGREBAČKA
