Postanski_ured;Mjesto;Zupanija
10000 Zagreb;Sljeme;Krapinsko-zagorska županija
10000 Zagreb;Sljeme (Medvednica-Tomislavac);Grad Zagreb
10000 Zagreb;Zagreb-Donji Grad;Grad Zagreb
10000 Zagreb;Zagreb-Donji Grad dio;Grad Zagreb
10000 Zagreb;Zagreb-Gornji Grad- Medveščak;Grad Zagreb
10000 Zagreb;Zagreb-Trnje;Grad Zagreb
10010 Zagreb-Sloboština;Buzin;Grad Zagreb
10010 Zagreb-Sloboština;Veliko Polje;Grad Zagreb
10010 Zagreb-Sloboština;Zagreb-Novi Zagreb-istok;Grad Zagreb
10020 Zagreb-Novi Zagreb;Botinec;Grad Zagreb
10020 Zagreb-Novi Zagreb;Donji Čehi;Grad Zagreb
10020 Zagreb-Novi Zagreb;Gornji Čehi;Grad Zagreb
10020 Zagreb-Novi Zagreb;Hrašće Turopoljsko;Grad Zagreb
10020 Zagreb-Novi Zagreb;Mala Mlaka;Grad Zagreb
10020 Zagreb-Novi Zagreb;Odra;Grad Zagreb
10020 Zagreb-Novi Zagreb;Odranski Obrež;Grad Zagreb
10020 Zagreb-Novi Zagreb;Strmec;Grad Zagreb
10020 Zagreb-Novi Zagreb;Zagreb-Novi Zagreb-zapad;Grad Zagreb
10040 Zagreb-Dubrava;Zagreb-Donja Dubrava;Grad Zagreb
10040 Zagreb-Dubrava;Zagreb-Gornja Dubrava;Grad Zagreb
10090 Zagreb-Susedgrad;Zagreb-Podsused-Vrapče;Grad Zagreb
10090 Zagreb-Susedgrad;Zagreb-Stenjevec;Grad Zagreb
10104 Zagreb;Zagreb-Trešnjevka-jug;Grad Zagreb
10109 Zagreb;Zagreb-Črnomerec dio;Grad Zagreb
10110 Zagreb;Zagreb-Trešnjevka-sjever;Grad Zagreb
10111 Zagreb;Zagreb-Stenjevec - dio;Grad Zagreb
10112 Zagreb;Zagreb-Gornji Grad- Medveščak dio;Grad Zagreb
10123 Zagreb;Zagreb-Maksimir dio;Grad Zagreb
10135 Zagreb;Zagreb-Pešćenica-Žitnjak;Grad Zagreb
10146 Zagreb;Zagreb-Novi Zagreb-istok dio;Grad Zagreb
10146 Zagreb;Zagreb-Novi Zagreb-zapad dio;Grad Zagreb
10147 Zagreb;Zagreb-Stenjevec - dio;Grad Zagreb
10163 Zagreb;Zagreb-dio (dijelovi: Podsljeme, Črnomerec, Medvedgrad, Šestinski dol, Vrhovec, Jelenovac);Grad Zagreb
10172 Zagreb;Zagreb-Podsused-Vrapče - dio;Grad Zagreb
10250 Lučko;Ježdovec;Grad Zagreb
10250 Lučko;Lučko;Grad Zagreb
10251 Hrvatski Leskovac;Demerje;Grad Zagreb
10251 Hrvatski Leskovac;Hrvatski Leskovac;Grad Zagreb
10253 Donji Dragonožec;Bukovčak;Zagrebačka županija
10253 Donji Dragonožec;Donji Dragonožec;Grad Zagreb
10253 Donji Dragonožec;Donji Trpuci;Grad Zagreb
10253 Donji Dragonožec;Gornji Dragonožec;Grad Zagreb
10253 Donji Dragonožec;Gornji Trpuci;Grad Zagreb
10253 Donji Dragonožec;Havidić Selo;Grad Zagreb
10253 Donji Dragonožec;Lipnica;Grad Zagreb
10255 Gornji Stupnik;Donji Stupnik;Zagrebačka županija
10255 Gornji Stupnik;Gornji Stupnik;Zagrebačka županija
10255 Gornji Stupnik;Stupnički Obrež;Zagrebačka županija
10257 Brezovica;Brebernica;Grad Zagreb
10257 Brezovica;Brezovica;Grad Zagreb
10257 Brezovica;Desprim;Grad Zagreb
10257 Brezovica;Drežnik Brezovički;Grad Zagreb
10257 Brezovica;Goli Breg;Grad Zagreb
10257 Brezovica;Grančari;Grad Zagreb
10257 Brezovica;Hudi Bitek;Grad Zagreb
10257 Brezovica;Kupinečki Kraljevec;Grad Zagreb
10257 Brezovica;Starjak;Grad Zagreb
10257 Brezovica;Zadvorsko;Grad Zagreb
10290 Zaprešić;Ivanec Bistranski;Zagrebačka županija
10290 Zaprešić;Lužnica;Zagrebačka županija
10290 Zaprešić;Šibice;Zagrebačka županija
10290 Zaprešić;Zaprešić;Zagrebačka županija
10291 Prigorje Brdovečko;Brdovec;Zagrebačka županija
10291 Prigorje Brdovečko;Drenje Brdovečko;Zagrebačka županija
10291 Prigorje Brdovečko;Javorje;Zagrebačka županija
10291 Prigorje Brdovečko;Prigorje Brdovečko;Zagrebačka županija
10291 Prigorje Brdovečko;Prudnice;Zagrebačka županija
10291 Prigorje Brdovečko;Savski Marof;Zagrebačka županija
10291 Prigorje Brdovečko;Zdenci Brdovečki;Zagrebačka županija
10292 Šenkovec;Donji Laduč;Zagrebačka županija
10292 Šenkovec;Gornji Laduč;Zagrebačka županija
10292 Šenkovec;Harmica;Zagrebačka županija
10292 Šenkovec;Ključ Brdovečki;Zagrebačka županija
10292 Šenkovec;Šenkovec;Zagrebačka županija
10292 Šenkovec;Vukovo Selo;Zagrebačka županija
10293 Dubravica;Bijela Gorica;Zagrebačka županija
10293 Dubravica;Bobovec Rozganski;Zagrebačka županija
10293 Dubravica;Donji Čemehovec;Zagrebačka županija
10293 Dubravica;Dubravica;Zagrebačka županija
10293 Dubravica;Kraj Gornji;Zagrebačka županija
10293 Dubravica;Kraj Gornji;Zagrebačka županija
10293 Dubravica;Lugarski Breg;Zagrebačka županija
10293 Dubravica;Lukavec Sutlanski;Zagrebačka županija
10293 Dubravica;Pologi;Zagrebačka županija
10293 Dubravica;Prosinec;Zagrebačka županija
10293 Dubravica;Rozga;Zagrebačka županija
10293 Dubravica;Vučilčevo;Zagrebačka županija
10294 Donja Pušća;Bregovljana;Zagrebačka županija
10294 Donja Pušća;Donja Pušća;Zagrebačka županija
10294 Donja Pušća;Dubrava Pušćanska;Zagrebačka županija
10294 Donja Pušća;Gornja Pušća;Zagrebačka županija
10294 Donja Pušća;Hrebine;Zagrebačka županija
10294 Donja Pušća;Hruševec Pušćanski;Zagrebačka županija
10294 Donja Pušća;Marija Magdalena;Zagrebačka županija
10294 Donja Pušća;Pojatno;Zagrebačka županija
10294 Donja Pušća;Žlebec Gorički;Zagrebačka županija
10294 Donja Pušća;Žlebec Pušćanski;Zagrebačka županija
10295 Kupljenovo;Hruševec Kupljenski;Zagrebačka županija
10295 Kupljenovo;Kupljenovo;Zagrebačka županija
10295 Kupljenovo;Merenje;Zagrebačka županija
10296 Luka;Krajska Ves;Zagrebačka županija
10296 Luka;Luka;Zagrebačka županija
10296 Luka;Pluska;Zagrebačka županija
10296 Luka;Vadina;Zagrebačka županija
10296 Luka;Žejinci;Zagrebačka županija
10297 Jakovlje;Igrišće;Zagrebačka županija
10297 Jakovlje;Jakovlje;Zagrebačka županija
10297 Jakovlje;Kraljev Vrh;Zagrebačka županija
10298 Bistra;Bukovje Bistransko;Zagrebačka županija
10298 Bistra;Donja Bistra;Zagrebačka županija
10298 Bistra;Gornja Bistra;Zagrebačka županija
10298 Bistra;Jablanovec;Zagrebačka županija
10298 Bistra;Novaki Bistranski;Zagrebačka županija
10298 Bistra;Oborovo Bistransko;Zagrebačka županija
10298 Bistra;Poljanica Bistranska;Zagrebačka županija
10299 Marija Gorica;Celine Goričke;Zagrebačka županija
10299 Marija Gorica;Hrastina;Zagrebačka županija
10299 Marija Gorica;Kraj Donji;Zagrebačka županija
10299 Marija Gorica;Marija Gorica;Zagrebačka županija
10299 Marija Gorica;Oplaznik;Zagrebačka županija
10299 Marija Gorica;Sveti Križ;Zagrebačka županija
10299 Marija Gorica;Trstenik;Zagrebačka županija
10310 Ivanić-Grad;Greda Breška;Zagrebačka županija
10310 Ivanić-Grad;Ivanić-Grad;Zagrebačka županija
10310 Ivanić-Grad;Lepšić;Zagrebačka županija
10310 Ivanić-Grad;Opatinec;Zagrebačka županija
10310 Ivanić-Grad;Prerovec;Zagrebačka županija
10310 Ivanić-Grad;Šemovec Breški;Zagrebačka županija
10310 Ivanić-Grad;Tarno;Zagrebačka županija
10310 Ivanić-Grad;Trebovec;Zagrebačka županija
10310 Ivanić-Grad;Zelina Breška;Zagrebačka županija
10311 Posavski Bregi;Posavski Bregi;Zagrebačka županija
10311 Posavski Bregi;Zaklepica;Zagrebačka županija
10312 Kloštar Ivanić;Bešlinec;Zagrebačka županija
10312 Kloštar Ivanić;Čemernica Lonjska;Zagrebačka županija
10312 Kloštar Ivanić;Donja Obreška;Zagrebačka županija
10312 Kloštar Ivanić;Gornja Obreška;Zagrebačka županija
10312 Kloštar Ivanić;Kloštar Ivanić;Zagrebačka županija
10312 Kloštar Ivanić;Krišci;Zagrebačka županija
10312 Kloštar Ivanić;Lipovec Lonjski;Zagrebačka županija
10312 Kloštar Ivanić;Predavec;Zagrebačka županija
10312 Kloštar Ivanić;Sobočani;Zagrebačka županija
10312 Kloštar Ivanić;Stara Marča;Zagrebačka županija
10312 Kloštar Ivanić;Ščapovec;Zagrebačka županija
10313 Graberje Ivaničko;Caginec;Zagrebačka županija
10313 Graberje Ivaničko;Deanovec;Zagrebačka županija
10313 Graberje Ivaničko;Derežani;Zagrebačka županija
10313 Graberje Ivaničko;Graberje Ivanićko;Zagrebačka županija
10313 Graberje Ivaničko;Šumećani;Zagrebačka županija
10314 Križ;Bunjani;Zagrebačka županija
10314 Križ;Donji Prnjarovec;Zagrebačka županija
10314 Križ;Gornji Prnjarovec;Zagrebačka županija
10314 Križ;Johovec;Zagrebačka županija
10314 Križ;Križ;Zagrebačka županija
10314 Križ;Mala Hrastilnica;Zagrebačka županija
10314 Križ;Širinec;Zagrebačka županija
10314 Križ;Šušnjari;Zagrebačka županija
10314 Križ;Velika Hrastilnica;Zagrebačka županija
10315 Novoselec;Konšćani;Zagrebačka županija
10315 Novoselec;Novoselec;Zagrebačka županija
10315 Novoselec;Obedišće;Zagrebačka županija
10315 Novoselec;Okešinec;Zagrebačka županija
10315 Novoselec;Razljev;Zagrebačka županija
10315 Novoselec;Rečica Kriška;Zagrebačka županija
10315 Novoselec;Vezišće;Zagrebačka županija
10316 Lijevi Dubrovčak;Lijevi Dubrovčak;Zagrebačka županija
10316 Lijevi Dubrovčak;Topolje;Zagrebačka županija
10340 Vrbovec;Banovo;Zagrebačka županija
10340 Vrbovec;Brčevec;Zagrebačka županija
10340 Vrbovec;Celine;Zagrebačka županija
10340 Vrbovec;Cerik;Zagrebačka županija
10340 Vrbovec;Cerje;Zagrebačka županija
10340 Vrbovec;Cerje;Grad Zagreb
10340 Vrbovec;Dijaneš;Zagrebačka županija
10340 Vrbovec;Đivan;Zagrebačka županija
10340 Vrbovec;Gaj;Zagrebačka županija
10340 Vrbovec;Gostović;Zagrebačka županija
10340 Vrbovec;Graberanec;Zagrebačka županija
10340 Vrbovec;Hruškovica;Zagrebačka županija
10340 Vrbovec;Konak;Zagrebačka županija
10340 Vrbovec;Krkač;Zagrebačka županija
10340 Vrbovec;Kućari;Zagrebačka županija
10340 Vrbovec;Lovrečka Varoš;Zagrebačka županija
10340 Vrbovec;Lovrečka Velika;Zagrebačka županija
10340 Vrbovec;Luka;Zagrebačka županija
10340 Vrbovec;Lukovo;Zagrebačka županija
10340 Vrbovec;Marenić;Zagrebačka županija
10340 Vrbovec;Martinska Ves;Zagrebačka županija
10340 Vrbovec;Naselje Stjepana Radića;Zagrebačka županija
10340 Vrbovec;Novo Selo;Zagrebačka županija
10340 Vrbovec;Podolec;Zagrebačka županija
10340 Vrbovec;Poljana;Zagrebačka županija
10340 Vrbovec;Poljanski Lug;Zagrebačka županija
10340 Vrbovec;Prilesje;Zagrebačka županija
10340 Vrbovec;Savska Cesta;Zagrebačka županija
10340 Vrbovec;Topolovec;Zagrebačka županija
10340 Vrbovec;Vrbovec;Zagrebačka županija
10340 Vrbovec;Vrbovečki Pavlovec;Zagrebačka županija
10341 Lonjica;Dulepska;Zagrebačka županija
10341 Lonjica;Greda;Zagrebačka županija
10341 Lonjica;Lonjica;Zagrebačka županija
10341 Lonjica;Negovec;Zagrebačka županija
10341 Lonjica;Peskovec;Zagrebačka županija
10341 Lonjica;Pirakovec;Zagrebačka županija
10342 Dubrava;Bađinec;Zagrebačka županija
10342 Dubrava;Brezje;Zagrebačka županija
10342 Dubrava;Donji Marinkovac;Zagrebačka županija
10342 Dubrava;Dubrava;Zagrebačka županija
10342 Dubrava;Dubravski Markovac;Zagrebačka županija
10342 Dubrava;Gornji Marinkovac;Zagrebačka županija
10342 Dubrava;Graberec;Zagrebačka županija
10342 Dubrava;Koritna;Zagrebačka županija
10342 Dubrava;Kostanj;Zagrebačka županija
10342 Dubrava;Kunđevac;Zagrebačka županija
10342 Dubrava;Ladina;Zagrebačka županija
10342 Dubrava;Mostari;Zagrebačka županija
10342 Dubrava;Novaki;Zagrebačka županija
10342 Dubrava;Paruževac;Zagrebačka županija
10342 Dubrava;Pehardovac;Zagrebačka županija
10342 Dubrava;Podlužan;Zagrebačka županija
10342 Dubrava;Radulec;Zagrebačka županija
10342 Dubrava;Svinjarec;Zagrebačka županija
10342 Dubrava;Zetkan;Zagrebačka županija
10342 Dubrava;Zgališće;Zagrebačka županija
10342 Dubrava;Zvekovac;Zagrebačka županija
10342 Dubrava;Žukovec;Zagrebačka županija
10343 Nova Kapela;Fuka;Zagrebačka županija
10343 Nova Kapela;Habjanovac;Zagrebačka županija
10343 Nova Kapela;Haganj;Zagrebačka županija
10343 Nova Kapela;Nova Kapela;Zagrebačka županija
10343 Nova Kapela;Stara Kapela;Zagrebačka županija
10343 Nova Kapela;Stari Glog;Zagrebačka županija
10343 Nova Kapela;Žabnica;Zagrebačka županija
10344 Farkaševac;Bolč;Zagrebačka županija
10344 Farkaševac;Brezine;Zagrebačka županija
10344 Farkaševac;Donji Markovac;Zagrebačka županija
10344 Farkaševac;Donji Vukšinac;Zagrebačka županija
10344 Farkaševac;Farkaševac;Zagrebačka županija
10344 Farkaševac;Gornji Vukšinac;Zagrebačka županija
10344 Farkaševac;Ivančani;Zagrebačka županija
10344 Farkaševac;Kabal;Zagrebačka županija
10344 Farkaševac;Mački;Zagrebačka županija
10344 Farkaševac;Majur;Zagrebačka županija
10344 Farkaševac;Praščevac;Zagrebačka županija
10344 Farkaševac;Zvonik;Zagrebačka županija
10345 Gradec;Buzadovac;Zagrebačka županija
10345 Gradec;Cugovec;Zagrebačka županija
10345 Gradec;Festinec;Zagrebačka županija
10345 Gradec;Grabrić;Zagrebačka županija
10345 Gradec;Gradec;Zagrebačka županija
10345 Gradec;Gradečki Pavlovec;Zagrebačka županija
10345 Gradec;Lubena;Zagrebačka županija
10345 Gradec;Mali Brezovec;Zagrebačka županija
10345 Gradec;Podjales;Zagrebačka županija
10345 Gradec;Pokasin;Zagrebačka županija
10345 Gradec;Potočec;Zagrebačka županija
10345 Gradec;Remetinec;Zagrebačka županija
10345 Gradec;Repinec;Zagrebačka županija
10345 Gradec;Salajci;Zagrebačka županija
10345 Gradec;Tučenik;Zagrebačka županija
10345 Gradec;Veliki Brezovec;Zagrebačka županija
10345 Gradec;Zabrđe;Zagrebačka županija
10346 Preseka;Donja Velika;Zagrebačka županija
10346 Preseka;Donji Tkalec;Zagrebačka županija
10346 Preseka;Gornja Velika;Zagrebačka županija
10346 Preseka;Gornjaki;Zagrebačka županija
10346 Preseka;Gornji Tkalec;Zagrebačka županija
10346 Preseka;Graberšćak;Zagrebačka županija
10346 Preseka;Kamenica;Zagrebačka županija
10346 Preseka;Kraljev Vrh;Zagrebačka županija
10346 Preseka;Krušljevec;Zagrebačka županija
10346 Preseka;Ledina;Zagrebačka županija
10346 Preseka;Pogančec;Zagrebačka županija
10346 Preseka;Preseka;Zagrebačka županija
10346 Preseka;Slatina;Zagrebačka županija
10346 Preseka;Srednja Velika;Zagrebačka županija
10346 Preseka;Strmec;Zagrebačka županija
10346 Preseka;Vinkovec;Zagrebačka županija
10346 Preseka;Žabnjak;Zagrebačka županija
10346 Preseka;Žunci;Zagrebačka županija
10347 Rakovec;Baničevec;Zagrebačka županija
10347 Rakovec;Brezani;Zagrebačka županija
10347 Rakovec;Dropčevec;Zagrebačka županija
10347 Rakovec;Dvorišće;Zagrebačka županija
10347 Rakovec;Goli Vrh;Zagrebačka županija
10347 Rakovec;Hruškovec;Zagrebačka županija
10347 Rakovec;Hudovo;Zagrebačka županija
10347 Rakovec;Kolenica;Zagrebačka županija
10347 Rakovec;Lipnica;Zagrebačka županija
10347 Rakovec;Mlaka;Zagrebačka županija
10347 Rakovec;Rakovec;Zagrebačka županija
10347 Rakovec;Samoborec;Zagrebačka županija
10347 Rakovec;Šelovec;Zagrebačka županija
10347 Rakovec;Valetić;Zagrebačka županija
10347 Rakovec;Vrhovec;Zagrebačka županija
10360 Sesvete;Budenec;Grad Zagreb
10360 Sesvete;Dobrodol;Grad Zagreb
10360 Sesvete;Goranec;Grad Zagreb
10360 Sesvete;Markovo Polje;Grad Zagreb
10360 Sesvete;Popovec;Grad Zagreb
10360 Sesvete;Sesvete;Grad Zagreb
10360 Sesvete;Soblinec;Grad Zagreb
10360 Sesvete;Šašinovec;Grad Zagreb
10360 Sesvete;Šimunčevec;Grad Zagreb
10360 Sesvete;Vugrovec;Grad Zagreb
10360 Sesvete;Vugrovec Gornji;Grad Zagreb
10360 Sesvete;Žerjavinec;Grad Zagreb
10361 Sesvete-Kraljevec;Čista Mlaka;Zagrebačka županija
10361 Sesvete-Kraljevec;Drenčec;Grad Zagreb
10361 Sesvete-Kraljevec;Dumovec;Grad Zagreb
10361 Sesvete-Kraljevec;Glavničica;Grad Zagreb
10361 Sesvete-Kraljevec;Novaki Nartski;Zagrebačka županija
10361 Sesvete-Kraljevec;Otok Nartski;Zagrebačka županija
10361 Sesvete-Kraljevec;Otok Svibovski;Zagrebačka županija
10361 Sesvete-Kraljevec;Sop;Zagrebačka županija
10361 Sesvete-Kraljevec;Struga Nartska;Zagrebačka županija
10361 Sesvete-Kraljevec;Svibje;Zagrebačka županija
10361 Sesvete-Kraljevec;Trstenik Nartski;Zagrebačka županija
10362 Kašina;Blaguša;Grad Zagreb
10362 Kašina;Đurđekovec;Grad Zagreb
10362 Kašina;Gajec;Grad Zagreb
10362 Kašina;Kašina;Grad Zagreb
10362 Kašina;Kašinska Sopnica;Grad Zagreb
10362 Kašina;Kučilovina;Grad Zagreb
10362 Kašina;Paruževina;Grad Zagreb
10362 Kašina;Planina Donja;Grad Zagreb
10362 Kašina;Planina Gornja;Grad Zagreb
10362 Kašina;Prekvršje;Grad Zagreb
10362 Kašina;Prepuštovec;Grad Zagreb
10362 Kašina;Vurnovec;Grad Zagreb
10363 Belovar;Adamovec;Grad Zagreb
10363 Belovar;Belovar;Grad Zagreb
10363 Belovar;Glavnica Donja;Grad Zagreb
10363 Belovar;Glavnica Gornja;Grad Zagreb
10363 Belovar;Jesenovec;Grad Zagreb
10363 Belovar;Lužan;Grad Zagreb
10363 Belovar;Moravče;Grad Zagreb
10370 Dugo Selo;Andrilovec;Zagrebačka županija
10370 Dugo Selo;Božjakovina;Zagrebačka županija
10370 Dugo Selo;Brckovljani;Zagrebačka županija
10370 Dugo Selo;Črnec Dugoselski;Zagrebačka županija
10370 Dugo Selo;Črnec Rugvički;Zagrebačka županija
10370 Dugo Selo;Donja Greda;Zagrebačka županija
10370 Dugo Selo;Donje Dvorišće;Zagrebačka županija
10370 Dugo Selo;Dragošička;Zagrebačka županija
10370 Dugo Selo;Dugo Selo;Zagrebačka županija
10370 Dugo Selo;Gornja Greda;Zagrebačka županija
10370 Dugo Selo;Gornje Dvorišće;Zagrebačka županija
10370 Dugo Selo;Gračec;Zagrebačka županija
10370 Dugo Selo;Hrebinec;Zagrebačka županija
10370 Dugo Selo;Jalševec Nartski;Zagrebačka županija
10370 Dugo Selo;Ježevo;Zagrebačka županija
10370 Dugo Selo;Kopčevec;Zagrebačka županija
10370 Dugo Selo;Kozinščak;Zagrebačka županija
10370 Dugo Selo;Kusanovec;Zagrebačka županija
10370 Dugo Selo;Leprovica;Zagrebačka županija
10370 Dugo Selo;Lukarišće;Zagrebačka županija
10370 Dugo Selo;Lupoglav;Zagrebačka županija
10370 Dugo Selo;Mala Ostrna;Zagrebačka županija
10370 Dugo Selo;Nart Savski;Zagrebačka županija
10370 Dugo Selo;Obedišće Ježevsko;Zagrebačka županija
10370 Dugo Selo;Okunšćak;Zagrebačka županija
10370 Dugo Selo;Prečec;Zagrebačka županija
10370 Dugo Selo;Prikraj;Zagrebačka županija
10370 Dugo Selo;Prozorje;Zagrebačka županija
10370 Dugo Selo;Puhovo;Zagrebačka županija
10370 Dugo Selo;Rugvica;Zagrebačka županija
10370 Dugo Selo;Stančić;Zagrebačka županija
10370 Dugo Selo;Štakorovec;Zagrebačka županija
10370 Dugo Selo;Tedrovec;Zagrebačka županija
10370 Dugo Selo;Velika Ostrna;Zagrebačka županija
10372 Oborovo;Novaki Oborovski;Zagrebačka županija
10372 Oborovo;Oborovo;Zagrebačka županija
10372 Oborovo;Prečno;Zagrebačka županija
10372 Oborovo;Preseka Oborovska;Zagrebačka županija
10372 Oborovo;Prevlaka;Zagrebačka županija
10373 Ivanja Reka;Hrušćica;Zagrebačka županija
10373 Ivanja Reka;Ivanja Reka;Grad Zagreb
10380 Sveti Ivan Zelina;Berislavec;Zagrebačka županija
10380 Sveti Ivan Zelina;Biškupec Zelinski;Zagrebačka županija
10380 Sveti Ivan Zelina;Blaževdol;Zagrebačka županija
10380 Sveti Ivan Zelina;Breg Mokrički;Zagrebačka županija
10380 Sveti Ivan Zelina;Črečan;Zagrebačka županija
10380 Sveti Ivan Zelina;Donja Topličica;Zagrebačka županija
10380 Sveti Ivan Zelina;Donje Orešje;Zagrebačka županija
10380 Sveti Ivan Zelina;Donje Psarjevo;Zagrebačka županija
10380 Sveti Ivan Zelina;Gornja Topličica;Zagrebačka županija
10380 Sveti Ivan Zelina;Gornje Orešje;Zagrebačka županija
10380 Sveti Ivan Zelina;Gornje Psarjevo;Zagrebačka županija
10380 Sveti Ivan Zelina;Hrastje;Zagrebačka županija
10380 Sveti Ivan Zelina;Kalinje;Zagrebačka županija
10380 Sveti Ivan Zelina;Kladešćica;Zagrebačka županija
10380 Sveti Ivan Zelina;Krečaves;Zagrebačka županija
10380 Sveti Ivan Zelina;Marinovec Zelinski;Zagrebačka županija
10380 Sveti Ivan Zelina;Novo Mjesto;Zagrebačka županija
10380 Sveti Ivan Zelina;Obrež Zelinski;Zagrebačka županija
10380 Sveti Ivan Zelina;Polonje;Zagrebačka županija
10380 Sveti Ivan Zelina;Prepolno;Zagrebačka županija
10380 Sveti Ivan Zelina;Pretoki;Zagrebačka županija
10380 Sveti Ivan Zelina;Selnica Psarjevačka;Zagrebačka županija
10380 Sveti Ivan Zelina;Sveti Ivan Zelina;Zagrebačka županija
10380 Sveti Ivan Zelina;Šalovec;Zagrebačka županija
10380 Sveti Ivan Zelina;Šulinec;Zagrebačka županija
10380 Sveti Ivan Zelina;Velika Gora;Zagrebačka županija
10380 Sveti Ivan Zelina;Žitomir;Zagrebačka županija
10381 Bedenica;Bedenica;Zagrebačka županija
10381 Bedenica;Beloslavec;Zagrebačka županija
10381 Bedenica;Bosna;Zagrebačka županija
10381 Bedenica;Novakovec Bisaški;Zagrebačka županija
10381 Bedenica;Omamno;Zagrebačka županija
10381 Bedenica;Otrčkovec;Zagrebačka županija
10381 Bedenica;Turkovčina;Zagrebačka županija
10382 Donja Zelina;Banje Selo;Zagrebačka županija
10382 Donja Zelina;Blaškovec;Zagrebačka županija
10382 Donja Zelina;Brezovec Zelinski;Zagrebačka županija
10382 Donja Zelina;Bukevje;Zagrebačka županija
10382 Donja Zelina;Bukovec Zelinski;Zagrebačka županija
10382 Donja Zelina;Bunjak;Zagrebačka županija
10382 Donja Zelina;Curkovec;Zagrebačka županija
10382 Donja Zelina;Donja Drenova;Zagrebačka županija
10382 Donja Zelina;Donja Zelina;Zagrebačka županija
10382 Donja Zelina;Goričanec;Zagrebačka županija
10382 Donja Zelina;Goričica;Zagrebačka županija
10382 Donja Zelina;Gornja Drenova;Zagrebačka županija
10382 Donja Zelina;Hrnjanec;Zagrebačka županija
10382 Donja Zelina;Križevčec;Zagrebačka županija
10382 Donja Zelina;Laktec;Zagrebačka županija
10382 Donja Zelina;Majkovec;Zagrebačka županija
10382 Donja Zelina;Nespeš;Zagrebačka županija
10382 Donja Zelina;Paukovec;Zagrebačka županija
10382 Donja Zelina;Suhodol Zelinski;Zagrebačka županija
10382 Donja Zelina;Sveta Helena;Zagrebačka županija
10382 Donja Zelina;Vukovje Zelinsko;Zagrebačka županija
10383 Komin;Dubovec Bisaški;Zagrebačka županija
10383 Komin;Filipovići;Zagrebačka županija
10383 Komin;Gornji Vinkovec;Zagrebačka županija
10383 Komin;Keleminovec;Zagrebačka županija
10383 Komin;Komin;Zagrebačka županija
